Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 117.0.0.0,,,2023-10-03 15:54:19,2023-10-03 15:54:31,12.423s,PASSED
,,,,,,,
Test Cases/TestScr1,Chrome 117.0.0.0,,,2023-10-03 15:54:19,2023-10-03 15:54:31,12.197s,PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 117.0.0.0,,,2023-10-03 15:54:20,2023-10-03 15:54:25,5.341s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 117.0.0.0,,,2023-10-03 15:54:25,2023-10-03 15:54:26,1.254s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 117.0.0.0,,,2023-10-03 15:54:26,2023-10-03 15:54:27,0.462s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Login""))",Chrome 117.0.0.0,,,2023-10-03 15:54:27,2023-10-03 15:54:27,0.416s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/i_Admin_oxd-icon bi-chevron-left""))",Chrome 117.0.0.0,,,2023-10-03 15:54:27,2023-10-03 15:54:29,1.895s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Logout""))",Chrome 117.0.0.0,,,2023-10-03 15:54:29,2023-10-03 15:54:31,1.641s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-10-03 15:54:31,2023-10-03 15:54:31,0.827s,PASSED
