Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 117.0.0.0,,,2023-10-05 15:07:51,2023-10-05 15:08:08,16.279s,PASSED
,,,,,,,
Test Cases/TestScr1,Chrome 117.0.0.0,,,2023-10-05 15:07:52,2023-10-05 15:08:08,16.037s,PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 117.0.0.0,,,2023-10-05 15:07:52,2023-10-05 15:07:59,6.870s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 117.0.0.0,,,2023-10-05 15:07:59,2023-10-05 15:08:00,1.590s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 117.0.0.0,,,2023-10-05 15:08:00,2023-10-05 15:08:01,0.664s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Login""))",Chrome 117.0.0.0,,,2023-10-05 15:08:01,2023-10-05 15:08:02,0.531s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/i_Admin_oxd-icon bi-chevron-left""))",Chrome 117.0.0.0,,,2023-10-05 15:08:02,2023-10-05 15:08:04,2.212s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Logout""))",Chrome 117.0.0.0,,,2023-10-05 15:08:04,2023-10-05 15:08:06,2.587s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-10-05 15:08:06,2023-10-05 15:08:08,1.294s,PASSED
