Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 117.0.0.0,,,2023-10-09 19:59:37,2023-10-09 20:00:05,27.467s,PASSED
,,,,,,,
Test Cases/TestScr1,Chrome 117.0.0.0,,,2023-10-09 19:59:38,2023-10-09 20:00:05,27.191s,PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 117.0.0.0,,,2023-10-09 19:59:38,2023-10-09 19:59:54,16.544s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 117.0.0.0,,,2023-10-09 19:59:54,2023-10-09 19:59:58,3.132s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 117.0.0.0,,,2023-10-09 19:59:58,2023-10-09 19:59:58,0.794s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Login""))",Chrome 117.0.0.0,,,2023-10-09 19:59:58,2023-10-09 19:59:59,0.595s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/i_Admin_oxd-icon bi-chevron-left""))",Chrome 117.0.0.0,,,2023-10-09 19:59:59,2023-10-09 20:00:02,2.818s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Logout""))",Chrome 117.0.0.0,,,2023-10-09 20:00:02,2023-10-09 20:00:04,1.774s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-10-09 20:00:04,2023-10-09 20:00:05,1.270s,PASSED
