Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 117.0.0.0,,,2023-10-04 16:54:57,2023-10-04 16:55:16,18.686s,PASSED
,,,,,,,
Test Cases/TestScr1,Chrome 117.0.0.0,,,2023-10-04 16:54:58,2023-10-04 16:55:16,18.172s,PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 117.0.0.0,,,2023-10-04 16:54:59,2023-10-04 16:55:07,8.811s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 117.0.0.0,,,2023-10-04 16:55:07,2023-10-04 16:55:09,1.318s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 117.0.0.0,,,2023-10-04 16:55:09,2023-10-04 16:55:09,0.546s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Login""))",Chrome 117.0.0.0,,,2023-10-04 16:55:09,2023-10-04 16:55:11,1.828s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/i_Admin_oxd-icon bi-chevron-left""))",Chrome 117.0.0.0,,,2023-10-04 16:55:11,2023-10-04 16:55:13,2.045s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Logout""))",Chrome 117.0.0.0,,,2023-10-04 16:55:13,2023-10-04 16:55:15,1.498s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-10-04 16:55:15,2023-10-04 16:55:16,1.289s,PASSED
